Date - Heure;Date;Heure;Code INSEE région;Région;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2022-02-13T18:30:00-04:00;2022-02-13;23:30;93;Provence-Alpes-Côte d'Azur;;;;;;5798;Consolidé;
2022-02-13T20:00:00-04:00;2022-02-14;01:00;93;Provence-Alpes-Côte d'Azur;2778;Définitif;;;2778;5154;Consolidé;7932
2022-02-13T20:30:00-04:00;2022-02-14;01:30;93;Provence-Alpes-Côte d'Azur;;;;;;5186;Consolidé;
2022-02-13T23:00:00-04:00;2022-02-14;04:00;93;Provence-Alpes-Côte d'Azur;3472;Définitif;;;3472;4816;Consolidé;8288
2022-02-14T01:30:00-04:00;2022-02-14;06:30;93;Provence-Alpes-Côte d'Azur;;;;;;5128;Consolidé;
2022-09-18T03:00:00-04:00;2022-09-18;09:00;93;Provence-Alpes-Côte d'Azur;1696;Définitif;;;1696;3521;Consolidé;5217
2022-02-14T05:30:00-04:00;2022-02-14;10:30;93;Provence-Alpes-Côte d'Azur;;;;;;6111;Consolidé;
2022-02-14T06:00:00-04:00;2022-02-14;11:00;93;Provence-Alpes-Côte d'Azur;5812;Définitif;;;5812;6174;Consolidé;11986
2022-09-18T11:00:00-04:00;2022-09-18;17:00;93;Provence-Alpes-Côte d'Azur;2480;Définitif;;;2480;3644;Consolidé;6124
2022-02-14T09:30:00-04:00;2022-02-14;14:30;93;Provence-Alpes-Côte d'Azur;;;;;;6430;Consolidé;
2022-09-18T13:30:00-04:00;2022-09-18;19:30;93;Provence-Alpes-Côte d'Azur;;;;;;4050;Consolidé;
2022-09-18T15:30:00-04:00;2022-09-18;21:30;93;Provence-Alpes-Côte d'Azur;;;;;;3645;Consolidé;
2022-09-18T16:00:00-04:00;2022-09-18;22:00;93;Provence-Alpes-Côte d'Azur;2509;Définitif;;;2509;3567;Consolidé;6076
2022-02-14T13:00:00-04:00;2022-02-14;18:00;93;Provence-Alpes-Côte d'Azur;6826;Définitif;;;6826;6000;Consolidé;12826
2022-09-18T17:00:00-04:00;2022-09-18;23:00;93;Provence-Alpes-Côte d'Azur;2085;Définitif;;;2085;3888;Consolidé;5973
2022-09-18T17:30:00-04:00;2022-09-18;23:30;93;Provence-Alpes-Côte d'Azur;;;;;;3547;Consolidé;
2022-02-14T19:00:00-04:00;2022-02-15;00:00;93;Provence-Alpes-Côte d'Azur;4563;Définitif;;;4563;5823;Consolidé;10386
2022-02-14T19:30:00-04:00;2022-02-15;00:30;93;Provence-Alpes-Côte d'Azur;;;;;;5636;Consolidé;
2022-02-14T21:00:00-04:00;2022-02-15;02:00;93;Provence-Alpes-Côte d'Azur;4659;Définitif;;;4659;5423;Consolidé;10082
2022-09-18T22:30:00-04:00;2022-09-19;04:30;93;Provence-Alpes-Côte d'Azur;;;;;;2996;Consolidé;
2022-02-15T00:00:00-04:00;2022-02-15;05:00;93;Provence-Alpes-Côte d'Azur;5058;Définitif;;;5058;5086;Consolidé;10144
2022-09-19T00:30:00-04:00;2022-09-19;06:30;93;Provence-Alpes-Côte d'Azur;;;;;;3286;Consolidé;
2022-02-15T02:00:00-04:00;2022-02-15;07:00;93;Provence-Alpes-Côte d'Azur;6567;Définitif;;;6567;5706;Consolidé;12273
2022-09-19T03:30:00-04:00;2022-09-19;09:30;93;Provence-Alpes-Côte d'Azur;;;;;;4225;Consolidé;
2022-09-19T04:00:00-04:00;2022-09-19;10:00;93;Provence-Alpes-Côte d'Azur;3476;Définitif;;;3476;4129;Consolidé;7605
2022-02-15T04:30:00-04:00;2022-02-15;09:30;93;Provence-Alpes-Côte d'Azur;;;;;;6038;Consolidé;
2022-09-19T06:30:00-04:00;2022-09-19;12:30;93;Provence-Alpes-Côte d'Azur;;;;;;4375;Consolidé;
2022-02-15T06:00:00-04:00;2022-02-15;11:00;93;Provence-Alpes-Côte d'Azur;5541;Définitif;;;5541;5870;Consolidé;11411
2022-02-15T06:30:00-04:00;2022-02-15;11:30;93;Provence-Alpes-Côte d'Azur;;;;;;5883;Consolidé;
2022-02-15T08:30:00-04:00;2022-02-15;13:30;93;Provence-Alpes-Côte d'Azur;;;;;;5977;Consolidé;
2022-09-19T11:00:00-04:00;2022-09-19;17:00;93;Provence-Alpes-Côte d'Azur;3115;Définitif;;;3115;4142;Consolidé;7257
2022-02-15T11:00:00-04:00;2022-02-15;16:00;93;Provence-Alpes-Côte d'Azur;4430;Définitif;;;4430;5497;Consolidé;9927
2022-02-15T11:30:00-04:00;2022-02-15;16:30;93;Provence-Alpes-Côte d'Azur;;;;;;5435;Consolidé;
2022-09-19T14:30:00-04:00;2022-09-19;20:30;93;Provence-Alpes-Côte d'Azur;;;;;;4093;Consolidé;
2022-02-15T12:30:00-04:00;2022-02-15;17:30;93;Provence-Alpes-Côte d'Azur;;;;;;5508;Consolidé;
2022-09-19T15:00:00-04:00;2022-09-19;21:00;93;Provence-Alpes-Côte d'Azur;3419;Définitif;;;3419;3850;Consolidé;7269
2022-02-15T13:00:00-04:00;2022-02-15;18:00;93;Provence-Alpes-Côte d'Azur;5241;Définitif;;;5241;5761;Consolidé;11002
2022-09-19T16:00:00-04:00;2022-09-19;22:00;93;Provence-Alpes-Côte d'Azur;3422;Définitif;;;3422;3653;Consolidé;7075
2022-02-15T15:00:00-04:00;2022-02-15;20:00;93;Provence-Alpes-Côte d'Azur;5212;Définitif;;;5212;6455;Consolidé;11667
2022-02-15T16:30:00-04:00;2022-02-15;21:30;93;Provence-Alpes-Côte d'Azur;;;;;;5930;Consolidé;
2022-09-19T22:00:00-04:00;2022-09-20;04:00;93;Provence-Alpes-Côte d'Azur;2653;Définitif;;;2653;3013;Consolidé;5666
2022-09-20T01:30:00-04:00;2022-09-20;07:30;93;Provence-Alpes-Côte d'Azur;;;;;;3745;Consolidé;
2022-02-16T00:30:00-04:00;2022-02-16;05:30;93;Provence-Alpes-Côte d'Azur;;;;;;5347;Consolidé;
